Title,PublicationDate,Subjects,SourceURL,SourceDate
90,"White out : the continuing significance of racism / edited by Ashley 
""Woody"" Doane and Eduardo Bonilla-Silva.",2003.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
91,"Mark one or more : civil rights in multiracial America / Kim M. 
Williams.",c2006.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
92,"Speaking treason fluently : anti-racist reflections from an angry 
white male spea[k]ing / Tim Wise.",c2008.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
93,"Between Barack and a hard place : racism and white denial in the 
age of Obama / Tim Wise.",c2009.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
94,"American skin : pop culture, big business, and the end of white 
America / Leon E. Wynter.",c2002.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
95,"Blood and politics : the history of the white nationalist movement 
from the margins to the mainstream / Leonard Zeskind.",2009.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
96,"Whitewashed : America's invisible Middle Eastern minority / John 
Tehranian.",c2009.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
97,"The myth of the model minority : Asian Americans facing racism / 
Rosalind S. Chou and Joe R. Feagin.",c2008.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
98,"The racial logic of politics : Asian Americans and party 
competition / Thomas P. Kim.",2007.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
99,"Accent on privilege : English identities and anglophilia in the U.S. / 
Katharine W. Jones.",2001.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
